category	filename	label	subtype	blurScore	isBlurry	resolution	passesMinResolution	objectPresence	detectedObjects	relevanceScore	anomalyFlags	confidence	summary	isFramedProperly	framingIssue	available
exercise	pass_01.jpg	pass		1988.0178	false	736x981	true	true	운동복(크롭 상의, 레깅스);운동화;헤드폰;모자;육상 트랙;잔디 운동장;인물(셀카 각도로 촬영)	0.85		0.75	육상 트랙 위에서 운동복과 운동화를 착용한 인물이 팔을 뻗어 셀카 각도로 촬영한 모습이 관찰되며, 배경에는 잔디 운동장과 트랙 라인이 보인다.	false	인물이 얼굴이 아래를 향한 채 상반신 위주로 근접 촬영되어 있고 팔이 화면 하단으로 크게 확대되어 전신 동작이나 얼굴 식별이 어렵다.	true
exercise	pass_02.jpg	pass		3043.2754	false	736x981	true	true	운동복(후드/집업 상의);운동화;무선 이어폰;야외 산책로/공원 길;나무 및 잔디;인물(셀카 촬영 자세);배경에 있는 다른 인물(유모차로 추정되는 물체와 함께)	0.75		0.7	야외 산책로에서 운동복과 운동화를 착용한 인물이 팔을 뻗은 포즈로 셀카를 촬영한 이미지로, 실외 운동 활동과 관련된 정황이 관찰됩니다.	true		true
exercise	reject_anomaly_01.jpg	reject	anomaly	600.22327	false	4000x3000	true	true	트랙/코트 바닥면(붉은색과 초록색 패턴);흰색 및 노란색 라인;어두운 실루엣 형태의 물체(모자 또는 헬멧으로 추정);사람의 손/팔로 보이는 형체;신발로 추정되는 어두운 형체	0.3	화면 재촬영 의심(모아레 패턴 및 스캔라인 형태의 간섭 무늬 관찰됨);피사체 식별 곤란	0.35	이미지는 트랙 또는 코트로 보이는 바닥과 라인이 촬영되어 있으며, 화면 전반에 모아레/스캔라인 패턴이 나타나 디스플레이 화면을 재촬영했을 가능성이 있는 시각적 특징이 관찰됩니다. 어두운 실루엣 형태의 물체와 손으로 추정되는 형체가 있으나 명확한 운동 기구, 운동복, 또는 운동 동작을 특정하기는 어렵습니다.	false	카메라 각도가 기울어져 있고 피사체로 추정되는 인물/객체가 프레임 가장자리에 크게 걸쳐 있어 전체 형태를 식별하기 어렵습니다.	true
exercise	reject_unrelated_01.jpg	reject	unrelated	3978.082	false	1126x2000	true	false	나무;호수;산;잔디밭;하늘;햇빛(역광)	0.02	기대 객체(운동 기구/운동복, 운동하는 모습) 미관찰;챌린지 카테고리와 무관한 풍경 사진으로 보임	0.9	이미지는 호수와 산, 나무, 잔디밭이 있는 야외 풍경 사진으로, 운동 기구, 운동복, 또는 운동을 수행하는 인물 등 EXERCISE 루틴과 관련된 요소는 관찰되지 않습니다.	false	루틴 수행을 나타낼 인물이나 운동 관련 객체 자체가 프레임 내에 존재하지 않아 식별할 대상이 없습니다.	true
exercise	review_01.png	review		44.07408	true	587x629	true	true	사람(인물 상반신);흰색 반팔 상의(운동복으로 추정);검은색 헤드폰 또는 모자류 소품;손목 밴드(스포츠 액세서리 추정);육상 트랙으로 보이는 붉은색 바닥면과 흰색 라인	0.55		0.5	인물의 상반신이 매우 근접한 각도에서 촬영되어 있으며, 배경에 육상 트랙으로 보이는 붉은 바닥과 흰색 라인이 확인되나 실제 운동 동작(달리기, 스트레칭 등)이 명확히 드러나지는 않는다.	false	카메라가 인물의 목과 어깨 부위에 지나치게 가깝고 위에서 아래로 내려찍는 각도라 얼굴과 전신 동작이 프레임에 담기지 않아 운동 수행 여부를 식별하기 어렵다.	true
sleep	pass_01.png	pass		276.87854	false	203x450	false	true	스마트폰 알람 화면;시각 표시(4:24);날짜 표시(11월 24일 수요일);알람 텍스트;알람 해제(X) 버튼;5분 후 다시 알림 버튼	0.75		0.7	스마트폰의 알람 화면 캡처로 보이며 시각(4:24)과 날짜(11월 24일 수요일)가 표시되어 있으나, 수면 시간 자체를 직접적으로 나타내는 수면 트래커 화면은 아니고 단순 알람 해제 화면으로 관찰됩니다.	true		true
sleep	pass_02.png	pass		1270.1799	false	140x299	false	true	스마트폰 화면(알람 앱 UI);시간 표시(1:25);알람 라벨 텍스트(iOS 26 alarm clock (huuuuge));Snooze 버튼;Stop 버튼	0.55	실제 iOS 알람 앱 UI와 다소 상이한 폰트/레이아웃 및 아이콘 스타일로, 실제 앱 촬영/캡처보다는 디자인 목업 또는 일러스트 형태로 보이는 특징이 관찰됨;'iOS 26'이라는 존재하지 않는(비현실적) 버전 표기 및 '(huuuuge)'라는 비정형적 라벨 문구가 실제 시스템 알람 명칭과 불일치함	0.55	이미지는 스마트폰 알람 화면으로 보이는 UI를 담고 있으며 시간(1:25)과 Snooze/Stop 버튼이 표시되어 있으나, 실제 운영체제 알람 앱과는 다른 폰트·아이콘 스타일 및 비정상적인 라벨 텍스트가 관찰되어 실제 캡처 화면인지 디자인 목업인지 추가 확인이 필요해 보입니다.	true		true
sleep	reject_unrelated_01.jpg	reject	unrelated	13.820864	true	736x1308	true	false	네잎클로버(식물 잎);흰색/밝은 배경면	0.02	기대 객체(수면 시간 표시 화면 또는 침대)와 무관한 식물 이미지가 제출됨	0.9	이미지에는 흰 배경 위에 놓인 네잎클로버로 보이는 식물이 촬영되어 있을 뿐, 수면 시간이 표시된 알람/트래커 앱 화면이나 침대와 같은 SLEEP 카테고리 관련 요소는 관찰되지 않는다.	true		true
sleep	review_01.png	review		19.144506	true	470x642	false	true	스마트폰 잠금화면;시간 표시(4:24);날짜 표시(11월 24일 수요일);알람 문구;알람 해제(X) 버튼 아이콘	0.75		0.6	스마트폰 잠금화면에 표시된 알람 화면(시간 4:24, 날짜, '알람' 문구)이 캡처된 이미지로, 별도의 수면 트래커 앱의 수면 시간 통계나 침대 등 수면 환경을 보여주는 요소는 확인되지 않는다.	true		true
duplicates	pair1_original.jpg vs pair1_resubmit.png	pair	hamming=6							
