category	filename	label	subtype	objectPresence	detectedObjects	relevanceScore	anomalyFlags	confidence	summary	available
exercise	pass_01.jpg	pass		true	운동복(레깅스, 반팔 상의);운동화;헤드폰;모자;육상 트랙;인조 잔디 구장;사람(셀카 각도로 촬영한 인물);그림자	0.8		0.75	트랙 위에서 운동복과 운동화를 착용한 인물이 셀카 각도로 촬영된 사진으로, 배경에 육상 트랙과 잔디 구장이 관찰됩니다. 인물이 정지 자세로 서 있어 실제 운동 동작(달리기 등)이 진행 중인지는 이미지만으로 명확히 확인되지 않습니다.	true
exercise	pass_02.jpg	pass		true	운동복(트레이닝 상의, 반바지);운동화;무선 이어폰;야외 산책로/공원 길;나무 및 잔디;배경에 있는 다른 인물(유모차 추정)	0.75		0.7	야외 산책로에서 운동복과 운동화를 착용한 인물이 셀카 형태로 촬영한 사진으로, 팔을 뻗은 동작과 이어폰 착용이 관찰되어 운동 관련 활동과 관련이 있어 보인다. 다만 실제 운동 기구나 명확한 운동 동작(예: 달리기 자세, 스트레칭 등)이 뚜렷하게 확인되지는 않는다.	true
exercise	reject_anomaly_01.jpg	reject	anomaly	true	트랙(육상 트랙으로 추정되는 붉은색 바닥과 흰색/노란색 라인);사람의 팔과 손 일부;다리/신발로 추정되는 어두운 형체;모자 또는 헬멧 형태의 어두운 물체;화면 전반에 걸친 모아레/스캔라인 패턴	0.4	화면 재촬영 의심(모아레 패턴 및 스캔라인 관찰됨);피사체 식별 어려움(과도한 블러 및 왜곡);촬영 각도/구도 비정상(대상 형체가 명확히 인식되지 않음)	0.35	이미지에는 트랙으로 보이는 바닥과 사람의 팔, 다리 일부로 추정되는 형체가 관찰되나 전체적으로 심한 블러와 모아레 패턴이 있어 화면을 재촬영했을 가능성이 있으며, 운동 기구나 명확한 운동 동작을 특정하기 어려운 상태입니다.	true
exercise	reject_unrelated_01.jpg	reject	unrelated	false	나무;잔디밭;호수;산;하늘;햇빛(역광)	0.02	기대 객체(운동 기구/운동복, 운동하는 모습) 미관찰;루틴 카테고리와 무관한 풍경 사진으로 추정	0.9	이미지에는 호수, 산, 나무, 잔디밭이 있는 자연 풍경이 담겨 있으며, 운동 기구, 운동복 또는 운동 동작을 하는 사람의 모습은 관찰되지 않습니다. 해당 이미지는 EXERCISE 카테고리의 기대 객체와 시각적으로 일치하지 않습니다.	true
exercise	review_01.png	review		true	운동복(흰색 티셔츠);모자;헤드폰/이어머프로 추정되는 물체;손목 밴드(스포츠 액세서리);붉은색 트랙(육상 트랙으로 추정되는 바닥면);인물의 상반신 클로즈업	0.55	구도가 인물 얼굴/전신이 아닌 근접 상반신 위주로 촬영되어 운동 동작 확인이 어려움;운동 기구 또는 명확한 운동 동작이 프레임 내에서 식별되지 않음	0.5	이미지에는 트랙으로 보이는 붉은 바닥 위에서 운동복 차림의 인물 상반신이 매우 가까운 각도로 촬영되어 있으며, 손목 밴드와 모자 등 액세서리가 관찰되나 구체적인 운동 동작이나 기구는 명확히 식별되지 않습니다.	true
sleep	pass_01.png	pass		true	스마트폰 잠금화면/알람 화면;시간 표시(4:24);날짜 표시(11월 24일 수요일);알람 텍스트;5분 후 다시 알림 버튼;닫기(X) 버튼;그라데이션 배경(보라-파란색)	0.7		0.6	스마트폰 알람 화면으로 보이는 이미지로, 4:24라는 시간과 알람 알림, '5분 후 다시 알림' 버튼이 표시되어 있다. 다만 수면 시간(취침~기상 시간 범위)을 직접 나타내는 수면 트래커 앱 화면이 아니라 단순 알람 울림 화면으로 관찰되어, 수면 시간 기록을 명확히 보여주는지는 추가 확인이 필요해 보인다.	true
sleep	pass_02.png	pass		true	스마트폰 화면 이미지;알람 앱 UI;시간 표시(1:25);'iOS 26 alarm clock (huuuuge)' 텍스트 라벨;Snooze 버튼;Stop 버튼	0.55	화면 상단에 'iOS 26 alarm clock (huuuuge)'라는 비정상적인 라벨 텍스트가 표시되어 있어 실제 iOS 시스템 알람 UI라기보다 디자인 목업/일러스트 또는 프로토타입 이미지일 가능성을 시사함;실제 iOS 알람 화면에서 통상 나타나는 상태바(배터리, 신호, 날짜 등) 요소가 보이지 않아 실기기 캡처 여부를 판단하기 어려움	0.55	이미지는 시간(1:25)과 Snooze/Stop 버튼이 있는 알람 화면 형태를 보이나, 상단에 'iOS 26 alarm clock (huuuuge)'라는 라벨성 텍스트가 포함되어 있어 실제 기기 캡처가 아닌 디자인 목업이나 참고용 이미지일 가능성이 관찰됨.	true
sleep	reject_unrelated_01.jpg	reject	unrelated	false	네잎클로버(식물 잎);흰색 배경 표면	0.02	기대 객체(수면 트래커/알람 앱 화면 또는 침대)가 이미지 내에서 전혀 관찰되지 않음;루틴 카테고리(SLEEP)와 무관한 식물(클로버) 소재의 사진으로 보임	0.9	이미지에는 흰색 배경 위에 놓인 네잎클로버(또는 세잎클로버) 식물 잎이 촬영되어 있으며, 수면 시간이 표시된 알람/수면 트래커 앱 화면이나 침대 등 기대 객체는 관찰되지 않는다.	true
sleep	review_01.png	review		true	스마트폰 잠금화면 캡처;시간 표시(4:24);날짜 표시(11월 24일 수요일);알람 알림 텍스트;알람 해제 버튼 아이콘	0.8		0.65	스마트폰 잠금화면에서 시간(4:24), 날짜(11월 24일 수요일)와 함께 '알람' 알림이 표시된 캡처 이미지로 관찰되며, 별도의 수면 트래커 앱 화면이나 수면 시간 총량, 침대 등의 시각적 요소는 확인되지 않는다. 합성이나 편집 흔적 등 추가적인 이상 신호는 관찰되지 않는다.	true
duplicates	pair1_original.jpg vs pair1_resubmit.png	pair	hamming=6							
